Region/country/area,Indicator,Year,Renewable energy share of electricity capacity and generation (%)
Haiti,RE share of electricity generation (%),2020,18.22
Haiti,RE share of electricity generation (%),2021,18.24
Haiti,RE share of electricity generation (%),2022,19.62
Haiti,RE share of electricity generation (%),2023,23.55
Haiti,RE share of electricity generation (%),2024,-
Honduras,RE share of electricity capacity (%),2019,62.83
Honduras,RE share of electricity capacity (%),2020,64.54
Honduras,RE share of electricity capacity (%),2021,64.73
Honduras,RE share of electricity capacity (%),2022,63.73
Honduras,RE share of electricity capacity (%),2023,63.55
Honduras,RE share of electricity capacity (%),2024,59.32
Honduras,RE share of electricity generation (%),2019,53.43
Honduras,RE share of electricity generation (%),2020,55.18
Honduras,RE share of electricity generation (%),2021,61.37
Honduras,RE share of electricity generation (%),2022,59.49
Honduras,RE share of electricity generation (%),2023,52.06
Honduras,RE share of electricity generation (%),2024,-
Hungary,RE share of electricity capacity (%),2019,22.89
Hungary,RE share of electricity capacity (%),2020,28.24
Hungary,RE share of electricity capacity (%),2021,33.73
Hungary,RE share of electricity capacity (%),2022,40.5
Hungary,RE share of electricity capacity (%),2023,47.34
Hungary,RE share of electricity capacity (%),2024,53.32
Hungary,RE share of electricity generation (%),2019,13.68
Hungary,RE share of electricity generation (%),2020,15.83
Hungary,RE share of electricity generation (%),2021,19.14
Hungary,RE share of electricity generation (%),2022,21.4
Hungary,RE share of electricity generation (%),2023,26.37
Hungary,RE share of electricity generation (%),2024,-
Iceland,RE share of electricity capacity (%),2019,96.11
Iceland,RE share of electricity capacity (%),2020,96.12
Iceland,RE share of electricity capacity (%),2021,95.8
Iceland,RE share of electricity capacity (%),2022,95.79
Iceland,RE share of electricity capacity (%),2023,97.54
Iceland,RE share of electricity capacity (%),2024,97.54
Iceland,RE share of electricity generation (%),2019,100
Iceland,RE share of electricity generation (%),2020,100
Iceland,RE share of electricity generation (%),2021,100
Iceland,RE share of electricity generation (%),2022,100
Iceland,RE share of electricity generation (%),2023,100
Iceland,RE share of electricity generation (%),2024,-
India,RE share of electricity capacity (%),2019,29.02
India,RE share of electricity capacity (%),2020,29.91
India,RE share of electricity capacity (%),2021,31.72
India,RE share of electricity capacity (%),2022,33.9
India,RE share of electricity capacity (%),2023,35.17
India,RE share of electricity capacity (%),2024,38.3
India,RE share of electricity generation (%),2019,17.03
India,RE share of electricity generation (%),2020,18.46
India,RE share of electricity generation (%),2021,18.92
India,RE share of electricity generation (%),2022,19.52
India,RE share of electricity generation (%),2023,19.86
India,RE share of electricity generation (%),2024,-
Indonesia,RE share of electricity capacity (%),2019,14.78
Indonesia,RE share of electricity capacity (%),2020,14.38
Indonesia,RE share of electricity capacity (%),2021,15.47
Indonesia,RE share of electricity capacity (%),2022,15.02
Indonesia,RE share of electricity capacity (%),2023,14.61
Indonesia,RE share of electricity capacity (%),2024,14.26
Indonesia,RE share of electricity generation (%),2019,16.14
Indonesia,RE share of electricity generation (%),2020,18.03
Indonesia,RE share of electricity generation (%),2021,18.1
Indonesia,RE share of electricity generation (%),2022,19.6
Indonesia,RE share of electricity generation (%),2023,18.55
Indonesia,RE share of electricity generation (%),2024,-
Iran (Islamic Republic of),RE share of electricity capacity (%),2019,14.27
Iran (Islamic Republic of),RE share of electricity capacity (%),2020,14
Iran (Islamic Republic of),RE share of electricity capacity (%),2021,13.82
Iran (Islamic Republic of),RE share of electricity capacity (%),2022,13.77
Iran (Islamic Republic of),RE share of electricity capacity (%),2023,13.54
Iran (Islamic Republic of),RE share of electricity capacity (%),2024,13.49
Iran (Islamic Republic of),RE share of electricity generation (%),2019,9.55
Iran (Islamic Republic of),RE share of electricity generation (%),2020,7.01
Iran (Islamic Republic of),RE share of electricity generation (%),2021,4.19
Iran (Islamic Republic of),RE share of electricity generation (%),2022,3.86
Iran (Islamic Republic of),RE share of electricity generation (%),2023,3.86
Iran (Islamic Republic of),RE share of electricity generation (%),2024,-
Iraq,RE share of electricity capacity (%),2019,5.85
Iraq,RE share of electricity capacity (%),2020,5.51
Iraq,RE share of electricity capacity (%),2021,5.29
Iraq,RE share of electricity capacity (%),2022,5.09
Iraq,RE share of electricity capacity (%),2023,4.79
Iraq,RE share of electricity capacity (%),2024,4.71
Iraq,RE share of electricity generation (%),2019,5.99
Iraq,RE share of electricity generation (%),2020,5.27
Iraq,RE share of electricity generation (%),2021,4.19
Iraq,RE share of electricity generation (%),2022,2.56
Iraq,RE share of electricity generation (%),2023,2.56
Iraq,RE share of electricity generation (%),2024,-
Ireland,RE share of electricity capacity (%),2019,40.82
Ireland,RE share of electricity capacity (%),2020,42.37
Ireland,RE share of electricity capacity (%),2021,42.71
Ireland,RE share of electricity capacity (%),2022,44.1
Ireland,RE share of electricity capacity (%),2023,47.19
Ireland,RE share of electricity capacity (%),2024,49.79
Ireland,RE share of electricity generation (%),2019,38.43
Ireland,RE share of electricity generation (%),2020,42.06
Ireland,RE share of electricity generation (%),2021,36.74
Ireland,RE share of electricity generation (%),2022,38.94
Ireland,RE share of electricity generation (%),2023,44.84
Ireland,RE share of electricity generation (%),2024,-
Israel,RE share of electricity capacity (%),2019,11.31
Israel,RE share of electricity capacity (%),2020,13.42
Israel,RE share of electricity capacity (%),2021,17.11
Israel,RE share of electricity capacity (%),2022,21.64
Israel,RE share of electricity capacity (%),2023,24.88
Israel,RE share of electricity capacity (%),2024,25.14
Israel,RE share of electricity generation (%),2019,4.71
Israel,RE share of electricity generation (%),2020,6.19
Israel,RE share of electricity generation (%),2021,7.62
Israel,RE share of electricity generation (%),2022,8.56
Israel,RE share of electricity generation (%),2023,11.81
Israel,RE share of electricity generation (%),2024,-
Italy,RE share of electricity capacity (%),2019,46.58
Italy,RE share of electricity capacity (%),2020,47.54
Italy,RE share of electricity capacity (%),2021,48.39
Italy,RE share of electricity capacity (%),2022,49.38
Italy,RE share of electricity capacity (%),2023,49.8
Italy,RE share of electricity capacity (%),2024,52.44
Italy,RE share of electricity generation (%),2019,39.43
Italy,RE share of electricity generation (%),2020,41.68
Italy,RE share of electricity generation (%),2021,40.25
Italy,RE share of electricity generation (%),2022,35.38
Italy,RE share of electricity generation (%),2023,44.03
Italy,RE share of electricity generation (%),2024,-
Jamaica,RE share of electricity capacity (%),2019,18.05
Jamaica,RE share of electricity capacity (%),2020,16.41
Jamaica,RE share of electricity capacity (%),2021,16.37
Jamaica,RE share of electricity capacity (%),2022,16.47
Jamaica,RE share of electricity capacity (%),2023,16.62
Jamaica,RE share of electricity capacity (%),2024,16.79
Jamaica,RE share of electricity generation (%),2019,12.08
Jamaica,RE share of electricity generation (%),2020,13.13
Jamaica,RE share of electricity generation (%),2021,12.76
Jamaica,RE share of electricity generation (%),2022,12.01
Jamaica,RE share of electricity generation (%),2023,10.38
Jamaica,RE share of electricity generation (%),2024,-
Japan,RE share of electricity capacity (%),2019,28.47
Japan,RE share of electricity capacity (%),2020,30.16
Japan,RE share of electricity capacity (%),2021,31.85
Japan,RE share of electricity capacity (%),2022,33.07
Japan,RE share of electricity capacity (%),2023,34.95
Japan,RE share of electricity capacity (%),2024,35.54
Japan,RE share of electricity generation (%),2019,17.84
Japan,RE share of electricity generation (%),2020,19.43
Japan,RE share of electricity generation (%),2021,20.15
Japan,RE share of electricity generation (%),2022,21.54
Japan,RE share of electricity generation (%),2023,22.59
Japan,RE share of electricity generation (%),2024,-
Jordan,RE share of electricity capacity (%),2019,24.46
Jordan,RE share of electricity capacity (%),2020,34.32
Jordan,RE share of electricity capacity (%),2021,38.24
Jordan,RE share of electricity capacity (%),2022,38.32
Jordan,RE share of electricity capacity (%),2023,37.25
Jordan,RE share of electricity capacity (%),2024,37.96
Jordan,RE share of electricity generation (%),2019,14.29
Jordan,RE share of electricity generation (%),2020,20.11
Jordan,RE share of electricity generation (%),2021,23.52
Jordan,RE share of electricity generation (%),2022,25.41
Jordan,RE share of electricity generation (%),2023,24.7
Jordan,RE share of electricity generation (%),2024,-
Kazakhstan,RE share of electricity capacity (%),2019,15.63
Kazakhstan,RE share of electricity capacity (%),2020,17.72
Kazakhstan,RE share of electricity capacity (%),2021,18.9
Kazakhstan,RE share of electricity capacity (%),2022,20.66
Kazakhstan,RE share of electricity capacity (%),2023,21.88
Kazakhstan,RE share of electricity capacity (%),2024,22.41
Kazakhstan,RE share of electricity generation (%),2019,10.62
Kazakhstan,RE share of electricity generation (%),2020,12.54
Kazakhstan,RE share of electricity generation (%),2021,11
Kazakhstan,RE share of electricity generation (%),2022,11.74
Kazakhstan,RE share of electricity generation (%),2023,12.74
Kazakhstan,RE share of electricity generation (%),2024,-
Kenya,RE share of electricity capacity (%),2019,72.1
Kenya,RE share of electricity capacity (%),2020,75.41
Kenya,RE share of electricity capacity (%),2021,76.72
Kenya,RE share of electricity capacity (%),2022,79.6
Kenya,RE share of electricity capacity (%),2023,82.89
Kenya,RE share of electricity capacity (%),2024,83.23
Kenya,RE share of electricity generation (%),2019,89.64
Kenya,RE share of electricity generation (%),2020,91.46
Kenya,RE share of electricity generation (%),2021,88.22
Kenya,RE share of electricity generation (%),2022,86.32
Kenya,RE share of electricity generation (%),2023,89.09
Kenya,RE share of electricity generation (%),2024,-
Kiribati,RE share of electricity capacity (%),2019,21.89
Kiribati,RE share of electricity capacity (%),2020,21.89
Kiribati,RE share of electricity capacity (%),2021,21.89
Kiribati,RE share of electricity capacity (%),2022,21.73
Kiribati,RE share of electricity capacity (%),2023,38.49
Kiribati,RE share of electricity capacity (%),2024,38.49
Kiribati,RE share of electricity generation (%),2019,10.38
Kiribati,RE share of electricity generation (%),2020,10.38
Kiribati,RE share of electricity generation (%),2021,10.38
Kiribati,RE share of electricity generation (%),2022,10.3
Kiribati,RE share of electricity generation (%),2023,20.25
Kiribati,RE share of electricity generation (%),2024,-
Democratic People's Republic of Korea (the),RE share of electricity capacity (%),2019,59.11
Democratic People's Republic of Korea (the),RE share of electricity capacity (%),2020,59.55
Democratic People's Republic of Korea (the),RE share of electricity capacity (%),2021,59.66
Democratic People's Republic of Korea (the),RE share of electricity capacity (%),2022,59.7
Democratic People's Republic of Korea (the),RE share of electricity capacity (%),2023,59.72
Democratic People's Republic of Korea (the),RE share of electricity capacity (%),2024,59.79
Democratic People's Republic of Korea (the),RE share of electricity generation (%),2019,46.41
Democratic People's Republic of Korea (the),RE share of electricity generation (%),2020,53.54
Democratic People's Republic of Korea (the),RE share of electricity generation (%),2021,63.33
Democratic People's Republic of Korea (the),RE share of electricity generation (%),2022,63.09
Democratic People's Republic of Korea (the),RE share of electricity generation (%),2023,63.36
Democratic People's Republic of Korea (the),RE share of electricity generation (%),2024,-
Republic of Korea (the),RE share of electricity capacity (%),2019,13.45
Republic of Korea (the),RE share of electricity capacity (%),2020,16.17
Republic of Korea (the),RE share of electricity capacity (%),2021,17.38
Republic of Korea (the),RE share of electricity capacity (%),2022,18.93
Republic of Korea (the),RE share of electricity capacity (%),2023,20.43
Republic of Korea (the),RE share of electricity capacity (%),2024,21.39
Republic of Korea (the),RE share of electricity generation (%),2019,4.68
Republic of Korea (the),RE share of electricity generation (%),2020,5.68
Republic of Korea (the),RE share of electricity generation (%),2021,6
Republic of Korea (the),RE share of electricity generation (%),2022,7.27
Republic of Korea (the),RE share of electricity generation (%),2023,7.76
Republic of Korea (the),RE share of electricity generation (%),2024,-
Kosovo,RE share of electricity capacity (%),2019,9.73
Kosovo,RE share of electricity capacity (%),2020,10.67
Kosovo,RE share of electricity capacity (%),2021,10.93
Kosovo,RE share of electricity capacity (%),2022,13
Kosovo,RE share of electricity capacity (%),2023,17.78
Kosovo,RE share of electricity capacity (%),2024,17.78
Kosovo,RE share of electricity generation (%),2019,4.95
Kosovo,RE share of electricity generation (%),2020,5.42
Kosovo,RE share of electricity generation (%),2021,6.37
Kosovo,RE share of electricity generation (%),2022,8.98
Kosovo,RE share of electricity generation (%),2023,12.68
Kosovo,RE share of electricity generation (%),2024,-
Kuwait,RE share of electricity capacity (%),2019,0.49
Kuwait,RE share of electricity capacity (%),2020,0.48
Kuwait,RE share of electricity capacity (%),2021,0.48
Kuwait,RE share of electricity capacity (%),2022,0.56
Kuwait,RE share of electricity capacity (%),2023,0.56
Kuwait,RE share of electricity capacity (%),2024,0.56
Kuwait,RE share of electricity generation (%),2019,0.08
Kuwait,RE share of electricity generation (%),2020,0.08
Kuwait,RE share of electricity generation (%),2021,0.26
Kuwait,RE share of electricity generation (%),2022,0.3
Kuwait,RE share of electricity generation (%),2023,0.19
Kuwait,RE share of electricity generation (%),2024,-
Kyrgyzstan,RE share of electricity capacity (%),2019,85.31
Kyrgyzstan,RE share of electricity capacity (%),2020,85.32
Kyrgyzstan,RE share of electricity capacity (%),2021,75.05
Kyrgyzstan,RE share of electricity capacity (%),2022,75.05
Kyrgyzstan,RE share of electricity capacity (%),2023,77.28
Kyrgyzstan,RE share of electricity capacity (%),2024,77.91
Kyrgyzstan,RE share of electricity generation (%),2019,91.69
Kyrgyzstan,RE share of electricity generation (%),2020,90.75
Kyrgyzstan,RE share of electricity generation (%),2021,85.59
Kyrgyzstan,RE share of electricity generation (%),2022,85.93
Kyrgyzstan,RE share of electricity generation (%),2023,86.93
Kyrgyzstan,RE share of electricity generation (%),2024,-
Lao People's Democratic Republic (the),RE share of electricity capacity (%),2019,79.44
Lao People's Democratic Republic (the),RE share of electricity capacity (%),2020,83.2
Lao People's Democratic Republic (the),RE share of electricity capacity (%),2021,84.69
Lao People's Democratic Republic (the),RE share of electricity capacity (%),2022,85.61
Lao People's Democratic Republic (the),RE share of electricity capacity (%),2023,85.76
Lao People's Democratic Republic (the),RE share of electricity capacity (%),2024,86.25
Lao People's Democratic Republic (the),RE share of electricity generation (%),2019,93.63
Lao People's Democratic Republic (the),RE share of electricity generation (%),2020,82.6
Lao People's Democratic Republic (the),RE share of electricity generation (%),2021,82.28
Lao People's Democratic Republic (the),RE share of electricity generation (%),2022,76.62
Lao People's Democratic Republic (the),RE share of electricity generation (%),2023,75.51
Lao People's Democratic Republic (the),RE share of electricity generation (%),2024,-
Latvia,RE share of electricity capacity (%),2019,62.15
Latvia,RE share of electricity capacity (%),2020,62.03
Latvia,RE share of electricity capacity (%),2021,62.02
Latvia,RE share of electricity capacity (%),2022,63.87
Latvia,RE share of electricity capacity (%),2023,67.79
Latvia,RE share of electricity capacity (%),2024,69.2
Latvia,RE share of electricity generation (%),2019,49.58
Latvia,RE share of electricity generation (%),2020,63.75
Latvia,RE share of electricity generation (%),2021,63.59
Latvia,RE share of electricity generation (%),2022,75.86
Latvia,RE share of electricity generation (%),2023,77.7
Latvia,RE share of electricity generation (%),2024,-
Lebanon,RE share of electricity capacity (%),2019,9.81
Lebanon,RE share of electricity capacity (%),2020,10.15
Lebanon,RE share of electricity capacity (%),2021,14.53
Lebanon,RE share of electricity capacity (%),2022,29.46
Lebanon,RE share of electricity capacity (%),2023,33.06
Lebanon,RE share of electricity capacity (%),2024,33.06
Lebanon,RE share of electricity generation (%),2019,4.83
Lebanon,RE share of electricity generation (%),2020,5.77
Lebanon,RE share of electricity generation (%),2021,7.06
Lebanon,RE share of electricity generation (%),2022,19.76
Lebanon,RE share of electricity generation (%),2023,20.65
Lebanon,RE share of electricity generation (%),2024,-
Lesotho,RE share of electricity capacity (%),2019,99.34
Lesotho,RE share of electricity capacity (%),2020,99.34
Lesotho,RE share of electricity capacity (%),2021,99.31
Lesotho,RE share of electricity capacity (%),2022,99.3
Lesotho,RE share of electricity capacity (%),2023,99.41
Lesotho,RE share of electricity capacity (%),2024,98.84
Lesotho,RE share of electricity generation (%),2019,99.87
Lesotho,RE share of electricity generation (%),2020,99.88
Lesotho,RE share of electricity generation (%),2021,99.53
Lesotho,RE share of electricity generation (%),2022,99.83
Lesotho,RE share of electricity generation (%),2023,99.83
Lesotho,RE share of electricity generation (%),2024,-
Liberia,RE share of electricity capacity (%),2019,49.1
Liberia,RE share of electricity capacity (%),2020,49.34
Liberia,RE share of electricity capacity (%),2021,49.26
Liberia,RE share of electricity capacity (%),2022,49.42
Liberia,RE share of electricity capacity (%),2023,49.48
Liberia,RE share of electricity capacity (%),2024,49.48
Liberia,RE share of electricity generation (%),2019,31.1
Liberia,RE share of electricity generation (%),2020,29.35
Liberia,RE share of electricity generation (%),2021,50.26
Liberia,RE share of electricity generation (%),2022,52.21
Liberia,RE share of electricity generation (%),2023,59.69
Liberia,RE share of electricity generation (%),2024,-
Libya,RE share of electricity capacity (%),2019,0.05
Libya,RE share of electricity capacity (%),2020,0.05
Libya,RE share of electricity capacity (%),2021,0.06
Libya,RE share of electricity capacity (%),2022,0.06
Libya,RE share of electricity capacity (%),2023,0.07
Libya,RE share of electricity capacity (%),2024,0.07
Libya,RE share of electricity generation (%),2019,0.02
Libya,RE share of electricity generation (%),2020,0.03
Libya,RE share of electricity generation (%),2021,0.02
Libya,RE share of electricity generation (%),2022,0.02
Libya,RE share of electricity generation (%),2023,0.02
Libya,RE share of electricity generation (%),2024,-
Lithuania,RE share of electricity capacity (%),2019,26.02
Lithuania,RE share of electricity capacity (%),2020,28.49
Lithuania,RE share of electricity capacity (%),2021,34.2
Lithuania,RE share of electricity capacity (%),2022,42.97
Lithuania,RE share of electricity capacity (%),2023,53.19
Lithuania,RE share of electricity capacity (%),2024,63.82
Lithuania,RE share of electricity generation (%),2019,62.17
Lithuania,RE share of electricity generation (%),2020,46.67
Lithuania,RE share of electricity generation (%),2021,51.62
Lithuania,RE share of electricity generation (%),2022,63.29
Lithuania,RE share of electricity generation (%),2023,74.22
Lithuania,RE share of electricity generation (%),2024,-
Luxembourg,RE share of electricity capacity (%),2019,21.75
Luxembourg,RE share of electricity capacity (%),2020,23.78
Luxembourg,RE share of electricity capacity (%),2021,26.85
Luxembourg,RE share of electricity capacity (%),2022,29.2
Luxembourg,RE share of electricity capacity (%),2023,34.53
Luxembourg,RE share of electricity capacity (%),2024,38.51
Luxembourg,RE share of electricity generation (%),2019,41.75
Luxembourg,RE share of electricity generation (%),2020,43.7
Luxembourg,RE share of electricity generation (%),2021,44.77
Luxembourg,RE share of electricity generation (%),2022,45.67
Luxembourg,RE share of electricity generation (%),2023,49.11
Luxembourg,RE share of electricity generation (%),2024,-
Madagascar,RE share of electricity capacity (%),2019,23.17
Madagascar,RE share of electricity capacity (%),2020,23.28
Madagascar,RE share of electricity capacity (%),2021,23.26
Madagascar,RE share of electricity capacity (%),2022,28.24
Madagascar,RE share of electricity capacity (%),2023,28.7
Madagascar,RE share of electricity capacity (%),2024,28.7
Madagascar,RE share of electricity generation (%),2019,49.63
Madagascar,RE share of electricity generation (%),2020,46.69
Madagascar,RE share of electricity generation (%),2021,42.39
Madagascar,RE share of electricity generation (%),2022,45.93
Madagascar,RE share of electricity generation (%),2023,53.48
Madagascar,RE share of electricity generation (%),2024,-
Malawi,RE share of electricity capacity (%),2019,74.97
Malawi,RE share of electricity capacity (%),2020,75.06
Malawi,RE share of electricity capacity (%),2021,78.33
Malawi,RE share of electricity capacity (%),2022,79.73
Malawi,RE share of electricity capacity (%),2023,79.76
Malawi,RE share of electricity capacity (%),2024,79.76
Malawi,RE share of electricity generation (%),2019,78.12
Malawi,RE share of electricity generation (%),2020,78.2
Malawi,RE share of electricity generation (%),2021,79.03
Malawi,RE share of electricity generation (%),2022,79.06
Malawi,RE share of electricity generation (%),2023,79.06
Malawi,RE share of electricity generation (%),2024,-
Malaysia,RE share of electricity capacity (%),2019,21.83
Malaysia,RE share of electricity capacity (%),2020,24.14
Malaysia,RE share of electricity capacity (%),2021,23.16
Malaysia,RE share of electricity capacity (%),2022,23.79
Malaysia,RE share of electricity capacity (%),2023,23.94
Malaysia,RE share of electricity capacity (%),2024,24.39
Malaysia,RE share of electricity generation (%),2019,16.47
Malaysia,RE share of electricity generation (%),2020,17.86
Malaysia,RE share of electricity generation (%),2021,20.23
Malaysia,RE share of electricity generation (%),2022,20.23
Malaysia,RE share of electricity generation (%),2023,20.23
Malaysia,RE share of electricity generation (%),2024,-
Maldives,RE share of electricity capacity (%),2019,5.47
Maldives,RE share of electricity capacity (%),2020,7.12
Maldives,RE share of electricity capacity (%),2021,7.28
Maldives,RE share of electricity capacity (%),2022,9.19
Maldives,RE share of electricity capacity (%),2023,9.65
Maldives,RE share of electricity capacity (%),2024,11.68
Maldives,RE share of electricity generation (%),2019,6.08
Maldives,RE share of electricity generation (%),2020,8
Maldives,RE share of electricity generation (%),2021,5.21
Maldives,RE share of electricity generation (%),2022,6.84
Maldives,RE share of electricity generation (%),2023,6.62
Maldives,RE share of electricity generation (%),2024,-
Mali,RE share of electricity capacity (%),2019,43.8
Mali,RE share of electricity capacity (%),2020,46.41
Mali,RE share of electricity capacity (%),2021,47.96
Mali,RE share of electricity capacity (%),2022,53.78
Mali,RE share of electricity capacity (%),2023,49.31
Mali,RE share of electricity capacity (%),2024,51.02
Mali,RE share of electricity generation (%),2019,50.71
Mali,RE share of electricity generation (%),2020,32.33
Mali,RE share of electricity generation (%),2021,29.09
Mali,RE share of electricity generation (%),2022,34.07
Mali,RE share of electricity generation (%),2023,37.52
Mali,RE share of electricity generation (%),2024,-
Malta,RE share of electricity capacity (%),2019,20.89
Malta,RE share of electricity capacity (%),2020,23.83
Malta,RE share of electricity capacity (%),2021,25.34
Malta,RE share of electricity capacity (%),2022,30.02
Malta,RE share of electricity capacity (%),2023,32.2
Malta,RE share of electricity capacity (%),2024,32.9
Malta,RE share of electricity generation (%),2019,9.8
Malta,RE share of electricity generation (%),2020,11.33
Malta,RE share of electricity generation (%),2021,11.88
Malta,RE share of electricity generation (%),2022,12.94
Malta,RE share of electricity generation (%),2023,13.59
Malta,RE share of electricity generation (%),2024,-
Marshall Islands (the),RE share of electricity capacity (%),2019,5.6
Marshall Islands (the),RE share of electricity capacity (%),2020,5.6
Marshall Islands (the),RE share of electricity capacity (%),2021,5.6
Marshall Islands (the),RE share of electricity capacity (%),2022,5.81
Marshall Islands (the),RE share of electricity capacity (%),2023,6.16
Marshall Islands (the),RE share of electricity capacity (%),2024,7.89
Marshall Islands (the),RE share of electricity generation (%),2019,2.87
Marshall Islands (the),RE share of electricity generation (%),2020,2.87
Marshall Islands (the),RE share of electricity generation (%),2021,2.8
Marshall Islands (the),RE share of electricity generation (%),2022,2.91
Marshall Islands (the),RE share of electricity generation (%),2023,3.09
Marshall Islands (the),RE share of electricity generation (%),2024,-
Martinique,RE share of electricity capacity (%),2019,24.39
Martinique,RE share of electricity capacity (%),2020,24.65
Martinique,RE share of electricity capacity (%),2021,25.24
Martinique,RE share of electricity capacity (%),2022,26.08
Martinique,RE share of electricity capacity (%),2023,26.66
Martinique,RE share of electricity capacity (%),2024,27.16
Martinique,RE share of electricity generation (%),2019,24.67
Martinique,RE share of electricity generation (%),2020,23.33
Martinique,RE share of electricity generation (%),2021,25.3
Martinique,RE share of electricity generation (%),2022,26.55
Martinique,RE share of electricity generation (%),2023,26.09
Martinique,RE share of electricity generation (%),2024,-
Mauritania,RE share of electricity capacity (%),2019,20.78
Mauritania,RE share of electricity capacity (%),2020,20.78
Mauritania,RE share of electricity capacity (%),2021,19.46
Mauritania,RE share of electricity capacity (%),2022,19.65
Mauritania,RE share of electricity capacity (%),2023,33.98
Mauritania,RE share of electricity capacity (%),2024,36.8
Mauritania,RE share of electricity generation (%),2019,18.73
Mauritania,RE share of electricity generation (%),2020,18.99
Mauritania,RE share of electricity generation (%),2021,20.37
Mauritania,RE share of electricity generation (%),2022,16.38
Mauritania,RE share of electricity generation (%),2023,16.24
Mauritania,RE share of electricity generation (%),2024,-
Mauritius,RE share of electricity capacity (%),2019,29.11
Mauritius,RE share of electricity capacity (%),2020,29.77
Mauritius,RE share of electricity capacity (%),2021,29.99
Mauritius,RE share of electricity capacity (%),2022,29.83
Mauritius,RE share of electricity capacity (%),2023,31.05
Mauritius,RE share of electricity capacity (%),2024,32.07
Mauritius,RE share of electricity generation (%),2019,21.93
Mauritius,RE share of electricity generation (%),2020,24.11
Mauritius,RE share of electricity generation (%),2021,21.68
Mauritius,RE share of electricity generation (%),2022,19.29
Mauritius,RE share of electricity generation (%),2023,17.69
Mauritius,RE share of electricity generation (%),2024,-
Mayotte,RE share of electricity capacity (%),2019,14.52
Mayotte,RE share of electricity capacity (%),2020,15.79
Mayotte,RE share of electricity capacity (%),2021,23.28
Mayotte,RE share of electricity capacity (%),2022,23.28
Mayotte,RE share of electricity capacity (%),2023,23.98
Mayotte,RE share of electricity capacity (%),2024,23.98
Mayotte,RE share of electricity generation (%),2019,7.14
Mayotte,RE share of electricity generation (%),2020,7.83
Mayotte,RE share of electricity generation (%),2021,12.08
Mayotte,RE share of electricity generation (%),2022,12.08
Mayotte,RE share of electricity generation (%),2023,12.51
Mayotte,RE share of electricity generation (%),2024,-
Mexico,RE share of electricity capacity (%),2019,28.93
Mexico,RE share of electricity capacity (%),2020,30.09
Mexico,RE share of electricity capacity (%),2021,31.1
Mexico,RE share of electricity capacity (%),2022,27.29
Mexico,RE share of electricity capacity (%),2023,27.87
Mexico,RE share of electricity capacity (%),2024,28.35
Mexico,RE share of electricity generation (%),2019,17.12
Mexico,RE share of electricity generation (%),2020,21.21
Mexico,RE share of electricity generation (%),2021,24.61
Mexico,RE share of electricity generation (%),2022,23.93
Mexico,RE share of electricity generation (%),2023,18.52
Mexico,RE share of electricity generation (%),2024,-
Micronesia (Federated States of),RE share of electricity capacity (%),2019,14.83
Micronesia (Federated States of),RE share of electricity capacity (%),2020,18.4
Micronesia (Federated States of),RE share of electricity capacity (%),2021,18.4
Micronesia (Federated States of),RE share of electricity capacity (%),2022,18.4
Micronesia (Federated States of),RE share of electricity capacity (%),2023,18.4
Micronesia (Federated States of),RE share of electricity capacity (%),2024,17.98
Micronesia (Federated States of),RE share of electricity generation (%),2019,13.07
Micronesia (Federated States of),RE share of electricity generation (%),2020,16.9
Micronesia (Federated States of),RE share of electricity generation (%),2021,13.53
Micronesia (Federated States of),RE share of electricity generation (%),2022,13.25
Micronesia (Federated States of),RE share of electricity generation (%),2023,13.5
Micronesia (Federated States of),RE share of electricity generation (%),2024,-
Republic of Moldova (the),RE share of electricity capacity (%),2019,3.59
Republic of Moldova (the),RE share of electricity capacity (%),2020,3.8
Republic of Moldova (the),RE share of electricity capacity (%),2021,4.93
Republic of Moldova (the),RE share of electricity capacity (%),2022,7.97
Republic of Moldova (the),RE share of electricity capacity (%),2023,12.54
Republic of Moldova (the),RE share of electricity capacity (%),2024,15.46
Republic of Moldova (the),RE share of electricity generation (%),2019,9.37
Republic of Moldova (the),RE share of electricity generation (%),2020,8.18
Republic of Moldova (the),RE share of electricity generation (%),2021,9.17
Republic of Moldova (the),RE share of electricity generation (%),2022,12.41
Republic of Moldova (the),RE share of electricity generation (%),2023,12.88
Republic of Moldova (the),RE share of electricity generation (%),2024,-
Mongolia,RE share of electricity capacity (%),2019,19.89
Mongolia,RE share of electricity capacity (%),2020,18.9
Mongolia,RE share of electricity capacity (%),2021,18.41
Mongolia,RE share of electricity capacity (%),2022,18.41
Mongolia,RE share of electricity capacity (%),2023,18.6
Mongolia,RE share of electricity capacity (%),2024,20.37
Mongolia,RE share of electricity generation (%),2019,4.97
Mongolia,RE share of electricity generation (%),2020,4.84
Mongolia,RE share of electricity generation (%),2021,5.41
Mongolia,RE share of electricity generation (%),2022,4.86
Mongolia,RE share of electricity generation (%),2023,4.81
Mongolia,RE share of electricity generation (%),2024,-
Montenegro,RE share of electricity capacity (%),2019,77.92
Montenegro,RE share of electricity capacity (%),2020,78.41
Montenegro,RE share of electricity capacity (%),2021,78.41
Montenegro,RE share of electricity capacity (%),2022,78.42
Montenegro,RE share of electricity capacity (%),2023,78.71
Montenegro,RE share of electricity capacity (%),2024,78.97
Montenegro,RE share of electricity generation (%),2019,56.18
Montenegro,RE share of electricity generation (%),2020,52.22
